elapsed,GPR_left,GPR_right,GPA_left,GPA_right
0.0,105.38345864661655,96.10126582278481,35.30345864661655,20.18126582278481
1.0,104.47933884297521,127.92366412213741,41.26933884297521,44.133664122137404
2.0,91.42857142857143,126.51162790697673,37.02857142857143,44.91162790697673
3.0,137.70491803278688,128.24427480916032,53.70491803278688,44.244274809160316
4.0,116.77685950413225,130.83333333333334,46.12685950413224,44.48333333333335
5.0,96.75,124.11290322580645,38.7,47.162903225806446
6.0,98.62385321100918,130.73394495412845,44.87385321100918,59.48394495412845
7.0,100.20183486238533,132.8256880733945,45.591834862385326,60.4356880733945
8.0,142.03508771929822,163.86206896551724,61.075087719298224,68.82206896551723
9.0,114.19259259259259,148.5811965811966,37.11259259259259,61.66119658119659
10.0,84.93913043478261,92.08888888888889,36.09913043478261,29.928888888888892
11.0,129.67441860465115,72.88888888888889,46.03441860465115,33.528888888888886
12.0,119.08396946564885,133.33333333333334,41.08396946564885,61.33333333333334
13.0,118.54838709677419,129.66101694915255,45.04838709677419,53.161016949152554
14.0,118.12500000000001,111.04838709677418,51.97500000000001,42.198387096774184
15.000000000000002,112.8,113.1864406779661,53.58,46.4064406779661
16.0,122.64761904761905,123.0677966101695,58.257619047619045,50.457796610169495
17.0,114.32432432432432,123.0952380952381,50.87432432432432,45.545238095238105
18.0,131.0796460176991,138.0,57.0196460176991,51.06
19.0,125.32283464566929,137.38235294117646,45.74283464566929,43.96235294117646
20.0,122.12307692307692,107.33333333333333,42.74307692307693,39.713333333333324
21.0,121.96551724137929,96.416,51.22551724137929,36.156
22.0,118.3103448275862,123.808,49.6903448275862,46.42800000000001
23.0,110.06837606837607,102.99290780141844,45.67837606837607,30.38290780141844
24.0,108.46153846153847,101.48936170212765,45.011538461538464,29.939361702127655
25.0,99.15966386554622,93.65079365079364,40.15966386554622,34.650793650793645
26.0,107.45614035087719,113.83928571428571,46.20614035087719,50.08928571428571
27.0,106.76470588235294,113.76068376068376,52.31470588235294,47.210683760683764
28.0,101.40869565217392,103.74358974358974,43.098695652173916,43.05358974358974
29.000000000000004,101.42608695652174,84.92307692307692,43.10608695652174,35.24307692307692
30.000000000000004,108.77697841726618,118.16513761467891,33.176978417266184,53.765137614678906
31.000000000000004,97.12230215827338,98.54014598540147,29.622302158273385,31.040145985401466
32.0,105.98130841121495,105.0,49.28130841121495,35.7
33.0,112.53571428571429,112.0909090909091,49.51571428571429,38.11090909090909
34.0,103.78378378378379,105.86466165413535,46.18378378378379,35.46466165413534
35.0,101.88679245283019,83.72093023255815,47.88679245283019,29.720930232558146
36.0,105.76923076923077,99.09909909909909,50.769230769230774,44.09909909909909
37.0,98.07692307692308,91.89189189189189,47.07692307692308,40.89189189189189
38.0,97.97938144329896,89.5304347826087,50.45938144329896,38.0504347826087
39.0,97.58095238095238,100.4695652173913,46.350952380952386,42.6995652173913
40.0,99.13793103448276,122.72727272727273,41.63793103448276,55.227272727272734
41.0,98.95798319327731,111.48387096774194,40.07798319327731,42.36387096774193
42.0,89.73770491803279,103.64516129032259,34.99770491803279,39.385161290322586
43.0,106.7891156462585,143.91869918699186,28.2991156462585,55.40869918699185
44.0,119.34640522875817,105.95744680851064,28.046405228758175,31.257446808510636
45.0,197.71241830065358,175.53191489361703,46.46241830065358,51.78191489361703
46.0,192.27586206896552,227.97163120567376,24.995862068965522,67.25163120567376
47.0,148.62857142857146,139.60893854748602,18.57857142857145,14.658938547486017
48.0,133.69325153374234,137.25581395348837,24.733251533742347,19.215813953488365
49.0,146.06134969325154,158.23312883435582,27.021349693251537,29.273128834355816
50.0,163.83233532934133,175.38461538461536,27.032335329341322,27.18461538461537
51.0,134.51497005988023,144.0,22.194970059880234,22.319999999999993
52.0,147.23926380368098,161.49068322981367,27.239263803680984,31.49068322981367
53.0,151.95092024539878,166.6583850931677,28.110920245398773,32.49838509316771
54.0,151.2638036809816,179.77639751552795,27.983803680981595,35.05639751552795
55.0,158.9512195121951,170.64150943396226,28.611219512195106,34.98150943396226
56.0,154.7,143.69811320754718,30.939999999999984,29.458113207547186
57.0,144.78527607361963,156.2913907284768,26.785276073619627,38.29139072847681
58.00000000000001,167.98830409356725,161.22784810126583,24.358304093567256,33.85784810126583
59.00000000000001,114.40322580645163,133.4248366013072,43.47322580645162,31.3548366013072
60.00000000000001,110.43548387096774,128.79738562091504,41.965483870967745,30.267385620915036
61.00000000000001,0.0,31.884057971014492,-0.0,9.884057971014492
