GPR_left,GPR_right,GPA_left,GPA_right,scale
783.7837837837837,442.62295081967216,638.7837837837837,307.62295081967216,1.0
452.2229263746505,367.016393442623,335.9829263746505,255.07639344262296,2.0
341.0855545200373,336.04371584699453,234.28555452003727,233.55038251366122,3.0
277.8212081435491,285.8105646630237,182.09620814354906,186.1405646630237,4.0
248.66172437818963,252.0469702489375,152.2256331815059,156.51697024893747,5.0
249.52055134798172,234.73378551538266,131.8896943179216,133.1517961951022,6.0
249.12095890617277,233.9236958552904,120.01402370107566,118.45011102437333,7.0
247.291980347249,232.5582338733791,108.8490823326441,106.54765833513785,8.0
245.92047737624884,230.96053537282822,99.37701038264017,96.98105760326162,9.0
245.20574922625283,229.59566463124435,91.40983108350659,90.67691794463038,10.0
243.91007819437962,228.8005553343668,86.14188995159496,86.36239059667463,11.0
240.4602852460205,228.92111837549933,81.66622699114784,83.65093762653132,12.0
237.96334022709587,226.8896910246202,78.07024702221015,79.55317319372122,13.0
236.0109587823033,224.39757023714733,74.96873587127307,78.47651796559828,14.0
233.7060405921263,223.0653416489469,72.86803226773365,75.265802732804,15.0
231.8054432058722,221.2809547655847,70.01300322397327,72.01669006200375,16.0
230.5150845898602,219.35890216796565,67.06459126962191,69.46626783454012,17.0
228.86502824329898,219.0275901367287,65.452319738182,67.01770937533578,18.0
227.6690111524721,218.15837817237824,64.02558945956423,64.76844449488162,19.0
225.4987585643916,216.85045926375932,62.74358271385876,62.26602227013753,20.0
223.2344709160262,216.25825365187276,61.58698066839101,60.02995664145463,21.0
222.2268194533597,215.26993082747637,60.596267851704994,58.57932401211617,22.0
221.40376132112925,214.2281356599908,59.691703975600376,57.97896176665078,23.0
220.92316071331837,213.1605491994104,58.651954706574834,57.341657094500185,24.0
220.11879709885602,212.07854934198676,58.00867651831184,56.946626781943195,25.0
219.5811781149611,210.77092829075843,57.647573575299845,56.6521992438441,26.0
218.2731329770315,209.73511687630452,56.81503718025507,56.122448192713186,27.0
216.83297529744888,208.7592934272046,54.785928709531674,55.82065212416562,28.0
215.11269075678135,207.57351983649005,52.94109882537423,55.515517193347314,29.0
213.56358752850963,206.44636230760204,52.01232134101744,54.22440166297078,30.0
212.06707558151632,205.42023331820727,52.629789883366755,52.47522741577817,31.0
210.67987845949293,204.17272602701328,54.42797480317008,51.72027598754018,32.0
209.37675389031943,203.04125465814232,53.852453190631714,53.17830641212737,33.0
208.13052807419626,201.97634042861668,53.22460152881142,52.22595871907906,34.0
207.13129471225042,200.92920593539418,52.55570815179775,51.35045513662918,35.0
206.10548153141067,199.7431489866025,51.875827369803375,50.517109160611696,36.0
205.06600014004178,198.94474010053273,51.10945365710598,49.654308750214184,37.0
204.54743187560305,198.27793274541506,49.76446803455056,49.16102025745934,38.0
204.7993402710102,197.73726573122286,48.7657285077546,49.00125050726808,39.0
204.88940701549126,197.3591607211081,48.29191862839407,48.80896924458638,40.0
204.60812352534754,196.87546504964095,47.79894500331128,48.655272221653725,41.0
204.14138308725902,196.2705096123499,47.22087488418482,48.13914572074943,42.0
203.90130863914092,195.67756448989374,46.122715003157275,47.725343545241614,43.0
203.61245887897678,195.27603007537925,45.59138496146864,47.20628929470747,44.0
203.16832118447203,194.87835631059076,45.19949703393577,46.15726064371397,45.0
202.65675688994796,194.1818351698906,44.84936502575314,45.15384193406801,46.0
201.93227399029078,193.57835318368404,44.66182400506364,44.21676843732209,47.0
201.14287738868893,192.78789506811486,44.516360535474575,43.81394019192428,48.0
200.64498425809603,191.8966472354806,44.20160674204723,44.21410212678297,49.0
200.21228865456678,191.23932035137707,43.83323175006343,43.76877350890485,50.0
199.97202344343012,190.60217481427526,43.50308636267913,43.26415868954434,51.0
