elapsed,GPR_left,GPR_right,GPA_left,GPA_right,net_power_left,net_power_right
147.0,0.0,0.0,0.0,0.0,0.0,0.0
148.0,0.0,0.0,0.0,0.0,0.0,0.0
149.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,0.0,0.0,0.0,0.0,0.0,0.0
151.0,0.0,0.0,0.0,0.0,0.0,0.0
152.0,0.0,0.0,0.0,0.0,0.0,0.0
153.0,0.0,0.0,0.0,0.0,0.0,0.0
154.0,0.0,0.0,0.0,0.0,0.0,0.0
155.0,0.0,6.5359477124183005,0.0,1.5359477124183005,-1.5359477124183005,6.5359477124183005
156.0,0.0,0.0,0.0,-0.0,0.0,0.0
157.0,0.0,0.0,0.0,0.0,0.0,0.0
158.0,0.0,0.0,0.0,0.0,0.0,0.0
159.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,0.0,0.0,0.0,-0.0,0.0,0.0
161.0,0.0,0.0,0.0,-0.0,0.0,0.0
162.0,0.0,20.408163265306122,0.0,15.408163265306122,-15.408163265306122,20.408163265306122
163.0,0.0,0.0,0.0,0.0,0.0,0.0
164.0,0.0,0.0,0.0,-0.0,0.0,0.0
165.0,0.0,89.02439024390245,0.0,16.024390243902445,-16.024390243902445,89.02439024390245
166.0,167.60655737704917,417.9622641509434,65.36655737704918,307.2022641509434,-139.59570677389422,352.5957067738942
167.0,120.77575757575758,203.1264367816092,21.13575757575758,114.76643678160919,6.009320794148394,181.99067920585162
168.0,150.37037037037038,62.89156626506024,28.570370370370384,10.691566265060239,139.67880410531015,34.32119589468986
169.0,88.90540540540542,105.07228915662651,23.11540540540541,17.862289156626517,71.0431162487789,81.9568837512211
170.0,137.66037735849056,168.17021276595744,28.220377358490566,49.61021276595744,88.05016459253312,139.94983540746688
171.0,123.78947368421052,86.96470588235294,29.709473684210522,13.044705882352943,110.74476780185758,57.25523219814242
172.0,104.63157894736842,73.50588235294117,25.11157894736843,11.025882352941174,93.60569659442726,48.39430340557274
173.0,66.02836879432624,62.922077922077925,19.478368794326244,14.472077922077922,51.55629087224832,43.44370912775168
174.0,25.263157894736842,17.142857142857142,8.463157894736842,3.942857142857143,21.3203007518797,8.6796992481203
175.0,0.0,0.0,-0.0,-0.0,0.0,0.0
176.0,0.0,0.0,-0.0,-0.0,0.0,0.0
177.0,0.0,0.0,0.0,0.0,0.0,0.0
178.0,0.0,0.0,0.0,0.0,0.0,0.0
179.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0,0.0,0.0,0.0
181.0,0.0,0.0,0.0,0.0,0.0,0.0
182.0,0.0,0.0,0.0,0.0,0.0,0.0
183.0,0.0,0.0,0.0,0.0,0.0,0.0
184.0,0.0,0.0,0.0,0.0,0.0,0.0
185.0,0.0,0.0,0.0,0.0,0.0,0.0
186.0,0.0,0.0,0.0,0.0,0.0,0.0
187.0,0.0,0.0,0.0,0.0,0.0,0.0
188.0,0.0,0.0,0.0,0.0,0.0,0.0
189.0,0.0,0.0,0.0,0.0,0.0,0.0
190.0,0.0,0.0,0.0,0.0,0.0,0.0
191.0,0.0,0.0,0.0,0.0,0.0,0.0
192.0,0.0,0.0,0.0,0.0,0.0,0.0
193.0,0.0,0.0,0.0,0.0,0.0,0.0
194.0,0.0,0.0,0.0,0.0,0.0,0.0
195.0,0.0,0.0,0.0,0.0,0.0,0.0
196.0,0.0,0.0,0.0,0.0,0.0,0.0
197.0,0.0,0.0,0.0,0.0,0.0,0.0
198.0,0.0,0.0,0.0,0.0,0.0,0.0
199.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,0.0,0.0,0.0,0.0,0.0,0.0
201.0,0.0,0.0,0.0,0.0,0.0,0.0
202.0,0.0,0.0,0.0,0.0,0.0,0.0
203.0,0.0,0.0,0.0,0.0,0.0,0.0
204.0,0.0,0.0,0.0,0.0,0.0,0.0
205.0,0.0,0.0,0.0,0.0,0.0,0.0
206.0,39.34426229508197,13.114754098360656,3.3442622950819683,1.114754098360656,38.22950819672131,9.770491803278688
207.0,11.666666666666666,3.9548022598870056,1.166666666666666,0.4548022598870056,11.211864406779661,2.7881355932203395
208.0,11.666666666666666,3.9548022598870056,1.166666666666666,0.4548022598870056,11.211864406779661,2.7881355932203395
209.0,35.8974358974359,0.0,21.897435897435898,-0.0,35.8974358974359,-21.897435897435898
210.0,0.0,63.63636363636363,-0.0,35.63636363636363,-35.63636363636363,63.63636363636363
211.0,0.0,129.54545454545453,-0.0,72.54545454545453,-72.54545454545453,129.54545454545453
212.0,0.0,0.0,-0.0,-0.0,0.0,0.0
213.0,0.0,0.0,-0.0,-0.0,0.0,0.0
214.0,0.0,0.0,0.0,0.0,0.0,0.0
215.0,0.0,0.0,0.0,0.0,0.0,0.0
216.0,0.0,0.0,0.0,0.0,0.0,0.0
217.0,0.0,0.0,0.0,0.0,0.0,0.0
218.0,0.0,0.0,0.0,0.0,0.0,0.0
219.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,0.0,0.0,0.0,0.0,0.0,0.0
221.0,0.0,0.0,0.0,0.0,0.0,0.0
222.0,0.0,0.0,-0.0,0.0,0.0,0.0
223.0,0.0,0.0,0.0,0.0,0.0,0.0
224.0,0.0,0.0,0.0,0.0,0.0,0.0
225.0,0.0,0.0,0.0,0.0,0.0,0.0
226.0,0.0,0.0,0.0,0.0,0.0,0.0
227.0,0.0,0.0,0.0,0.0,0.0,0.0
228.0,0.0,0.0,0.0,0.0,0.0,0.0
229.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0
230.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0
231.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0
232.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0
233.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0
234.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0
235.00000000000003,104.61349693251533,81.7748344370861,19.353496932515327,20.034834437086097,84.57866249542923,62.42133750457077
236.00000000000003,135.11111111111111,86.71140939597315,104.71111111111111,22.111409395973155,112.99970171513796,-17.99970171513796
237.00000000000003,86.21428571428571,14.295302013422818,25.864285714285707,3.6453020134228176,82.56898370086289,-11.568983700862889
238.00000000000003,144.5194805194805,130.8535031847134,33.23948051948051,28.13350318471339,116.38597733476712,97.61402266523288
239.00000000000003,110.07792207792208,99.66878980891718,25.317922077922077,21.428789808917188,88.6491322690049,74.3508677309951
240.00000000000003,90.08602150537635,37.0828025477707,48.19602150537635,7.972802547770698,82.11321895760565,-11.113218957605653
241.00000000000003,16.105263157894736,15.13375796178344,9.985263157894735,3.253757961783439,12.851505196111297,5.148494803888704
242.00000000000003,0.0,0.0,-0.0,-0.0,0.0,0.0
243.00000000000003,0.0,0.0,-0.0,-0.0,0.0,0.0
244.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0
245.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0
246.00000000000003,152.5179856115108,0.0,46.517985611510795,0.0,152.5179856115108,-46.517985611510795
247.00000000000003,240.28776978417267,0.0,73.28776978417267,0.0,240.28776978417267,-73.28776978417267
248.00000000000003,104.61437908496733,95.9054054054054,24.584379084967324,24.935405405405405,79.67897367956192,71.32102632043808
249.00000000000003,71.35135135135135,69.04109589041096,31.751351351351353,18.64109589041096,52.710255460940395,37.289744539059605
250.00000000000003,83.22580645161291,70.27397260273973,44.52580645161291,18.973972602739735,64.25183384887318,25.748166151126824
251.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0
252.00000000000003,25.488888888888887,36.504672897196265,14.018888888888887,16.974672897196264,8.514215991692623,22.485784008307377
253.00000000000003,85.84158415841584,78.58490566037736,42.49158415841584,36.93490566037736,48.90667849803848,36.09332150196152
254.00000000000003,66.65346534653465,61.01886792452831,32.99346534653465,28.678867924528305,37.97459742200634,28.02540257799366
255.00000000000003,65.86666666666666,51.62264150943396,36.22666666666666,24.262641509433962,41.6040251572327,15.395974842767302
256.0,0.0,0.0,-0.0,-0.0,0.0,0.0
257.0,0.0,0.0,-0.0,-0.0,0.0,0.0
258.0,0.0,0.0,0.0,0.0,0.0,0.0
259.0,0.0,0.0,0.0,0.0,0.0,0.0
260.0,0.0,0.0,0.0,0.0,0.0,0.0
261.0,0.0,0.0,0.0,-0.0,0.0,0.0
262.0,159.03614457831324,0.0,93.03614457831324,-0.0,159.03614457831324,-93.03614457831324
263.0,159.49367088607596,0.0,96.49367088607596,-0.0,159.49367088607596,-96.49367088607596
264.0,69.46153846153847,77.2258064516129,42.371538461538464,41.3158064516129,28.145732009925567,34.85426799007443
265.0,57.063291139240505,57.52173913043478,34.523291139240506,31.06173913043478,26.001552008805724,22.998447991194276
266.0,0.0,0.0,-0.0,-0.0,0.0,0.0
267.0,0.0,0.0,-0.0,-0.0,0.0,0.0
268.0,0.0,0.0,0.0,0.0,0.0,0.0
269.0,0.0,0.0,0.0,0.0,0.0,0.0
270.0,0.0,0.0,0.0,0.0,0.0,0.0
271.0,0.0,0.0,0.0,0.0,0.0,0.0
272.0,0.0,0.0,0.0,0.0,0.0,0.0
273.0,22.70731707317073,104.44736842105263,13.397317073170731,64.75736842105263,-42.050051347881904,91.0500513478819
274.0,44.0,118.62295081967213,26.18,82.44295081967212,-38.44295081967212,92.44295081967212
275.0,0.0,0.0,-0.0,-0.0,0.0,0.0
276.0,0.0,0.0,-0.0,-0.0,0.0,0.0
277.0,0.0,0.0,0.0,0.0,0.0,0.0
278.0,0.0,0.0,0.0,0.0,0.0,0.0
279.0,0.0,0.0,0.0,0.0,0.0,0.0
280.0,0.0,0.0,0.0,0.0,0.0,0.0
281.0,0.0,0.0,0.0,0.0,0.0,0.0
282.0,0.0,0.0,0.0,0.0,0.0,0.0
283.0,0.0,0.0,0.0,0.0,0.0,0.0
284.0,0.0,0.0,0.0,0.0,0.0,0.0
285.0,0.0,0.0,0.0,0.0,0.0,0.0
286.0,0.0,0.0,0.0,0.0,0.0,0.0
287.0,172.8,0.0,73.44000000000001,0.0,172.8,-73.44000000000001
288.0,133.15068493150685,44.210526315789465,35.95068493150684,6.410526315789468,126.74015861571738,8.259841384282623
289.0,81.66906474820144,92.02547770700636,24.909064748201438,19.785477707006365,61.88358704119507,67.11641295880491
290.0,72.56692913385827,63.59235668789809,26.48692913385827,13.672356687898088,58.89457244596018,37.10542755403982
291.0,111.49606299212599,60.12738853503185,40.69606299212599,12.927388535031845,98.56867445709415,19.43132554290586
292.0,169.36170212765958,116.20437956204378,49.96170212765958,36.60437956204379,132.7573225656158,66.2426774343842
293.0,176.05673758865248,131.21167883211677,51.93673758865248,41.33167883211678,134.7250587565357,79.2749412434643
294.0,121.65517241379311,144.0,15.815172413793107,33.84,87.8151724137931,128.1848275862069
295.0,119.60714285714286,109.69318181818181,19.137142857142862,13.163181818181812,106.44396103896105,90.55603896103895
296.0,60.833333333333336,48.93854748603352,31.633333333333336,5.138547486033524,55.69478584729981,17.305214152700184
297.0,99.46575342465754,103.85483870967742,26.855753424657536,39.46483870967742,60.00091471498011,76.99908528501989
298.0,91.60839160839161,86.1842105263158,26.108391608391614,20.684210526315795,70.92418108207582,60.07581891792418
299.0,64.33566433566433,60.526315789473685,18.335664335664333,14.526315789473685,49.80934854619065,42.19065145380935
300.0,81.87755102040815,108.16666666666667,41.75755102040815,30.286666666666676,51.59088435374147,66.40911564625853
301.0,89.79591836734694,91.66666666666667,45.79591836734694,25.66666666666667,64.12925170068027,45.87074829931973
302.0,68.66666666666667,94.35114503816794,27.46666666666667,32.551145038167945,36.115521628498726,66.88447837150127
303.0,54.6,78.22900763358778,21.840000000000003,26.989007633587782,27.61099236641222,56.38900763358778
304.0,61.254901960784316,64.12903225806451,30.014901960784318,24.369032258064514,36.8858697027198,34.1141302972802
305.0,52.22222222222222,43.265306122448976,33.42222222222222,22.065306122448977,30.156916099773245,9.843083900226759
306.0,67.88888888888889,56.244897959183675,43.44888888888889,28.684897959183676,39.20399092970521,12.796009070294787
307.0,63.951219512195124,62.816326530612244,37.731219512195125,32.03632653061224,31.91489298158288,25.08510701841712
308.0,78.46153846153847,70.72164948453607,42.761538461538464,36.421649484536076,42.03988897700239,27.96011102299761
309.0,73.01052631578948,68.70103092783505,38.33052631578948,35.38103092783505,37.62949538795443,30.370504612045572
310.0,61.0,62.88659793814433,30.5,32.38659793814433,28.613402061855673,32.38659793814433
311.0,58.75,47.0,35.25,23.5,35.25,11.75
312.0,57.925925925925924,59.869565217391305,34.46592592592592,32.329565217391306,25.59636070853462,25.40363929146538
313.0,69.56521739130434,76.59574468085107,45.565217391304344,40.59574468085107,28.969472710453275,31.030527289546725
314.0,61.42857142857143,69.79591836734694,35.62857142857143,35.59591836734694,25.83265306122449,34.16734693877551
315.0,61.42857142857143,69.79591836734694,35.62857142857143,35.59591836734694,25.83265306122449,34.16734693877551
316.0,38.56716417910448,53.361702127659576,25.64716417910448,28.281702127659578,10.285462051444902,27.714537948555098
317.0,74.06060606060606,48.0,49.620606060606065,25.44,48.620606060606065,-1.6206060606060646
318.0,61.83050847457626,93.0,43.59050847457627,63.239999999999995,-1.4094915254237321,49.40949152542373
319.0,78.0,94.07228915662651,53.04,55.03228915662651,22.96771084337349,41.03228915662651
320.0,61.24050632911393,71.04081632653062,37.05050632911393,36.230816326530615,25.009690002583312,33.99030999741669
321.0,70.49350649350649,65.0204081632653,43.35350649350649,33.1604081632653,37.333098330241185,21.666901669758815
322.0,33.45454545454545,30.857142857142858,20.57454545454545,15.737142857142858,17.717402597402597,10.282597402597407
323.0,124.67532467532467,0.0,76.67532467532467,-0.0,124.67532467532467,-76.67532467532467
324.0,58.082191780821915,155.1219512195122,36.88219178082191,123.3219512195122,-65.23975943869029,118.23975943869029
325.0,64.8529411764706,61.95402298850575,42.8029411764706,35.00402298850575,29.84891818796484,19.15108181203515
326.0,59.37931034482759,68.83333333333333,42.15931034482759,44.05333333333333,15.32597701149426,26.67402298850574
327.0,72.10344827586206,83.58333333333333,51.19344827586207,53.493333333333325,18.61011494252874,32.38988505747126
328.0,66.44827586206897,77.02777777777777,47.17827586206897,49.29777777777777,17.1504980842912,29.8495019157088
329.0,66.86153846153846,76.26829268292683,45.131538461538454,44.99829268292683,21.863245778611628,31.136754221388372
330.0,72.73972602739725,79.14634146341464,46.189726027397256,46.69634146341464,26.043384563982613,32.95661543601739
331.0,75.48717948717949,87.49367088607595,46.04717948717949,52.933670886075944,22.553508601103545,41.446491398896455
332.0,80.08888888888889,74.32558139534883,44.04888888888889,42.36558139534883,37.723307493540055,30.276692506459945
333.0,91.02173913043478,87.36470588235295,49.151739130434784,50.23470588235295,40.78703324808183,38.21296675191817
334.0,106.76106194690266,116.0,46.44106194690266,60.32,46.44106194690266,69.55893805309734
335.0,170.26548672566372,185.0,74.06548672566372,96.2,74.06548672566372,110.93451327433628
336.0,119.44370860927152,160.04166666666666,29.263708609271518,83.22166666666666,36.22204194260486,130.77795805739515
337.0,59.01515151515152,77.84722222222223,20.06515151515152,21.79722222222223,37.21792929292929,57.78207070707071
338.0,140.50331125827816,154.25503355704697,34.42331125827816,39.33503355704697,101.16827770123119,119.83172229876881
339.0,162.19277108433735,149.225,27.572771084337347,29.845,132.34777108433735,121.65222891566265
340.0,165.1764705882353,158.0487804878049,24.7764705882353,28.448780487804896,136.7276901004304,133.2723098995696
341.0,153.2307692307692,146.65030674846625,23.750769230769208,27.130306748466253,126.10046248230294,122.89953751769704
342.0,122.83018867924528,146.44171779141104,25.180188679245276,27.091717791411043,95.73847088783424,121.26152911216576
343.0,68.57142857142857,76.56441717791411,34.97142857142857,14.16441717791411,54.40701139351446,41.59298860648554
344.0,104.28571428571429,116.44171779141104,53.18571428571429,21.54171779141103,82.74399649430326,63.25600350569675
345.0,156.1904761904762,150.33333333333334,41.39047619047621,60.13333333333334,96.05714285714286,108.94285714285714
346.0,143.79084967320262,141.93548387096774,33.790849673202615,31.935483870967744,111.85536580223487,108.14463419776513
347.0,145.51282051282053,146.4516129032258,32.012820512820525,32.951612903225794,112.56120760959473,114.43879239040527
348.0,145.96273291925465,146.875,28.46273291925465,29.375,116.58773291925465,118.41226708074535
349.0,116.88050314465409,124.66285714285715,23.960503144654083,15.58285714285715,101.29764600179693,100.70235399820307
350.0,112.14285714285714,93.45238095238095,33.64285714285714,14.952380952380949,97.19047619047619,59.80952380952381
351.0,163.57142857142858,136.3095238095238,49.071428571428584,21.809523809523796,141.7619047619048,87.23809523809521
352.0,71.62025316455696,77.23255813953489,15.040253164556958,10.812558139534886,60.80769502502207,62.19230497497793
353.0,144.72,62.89411764705882,36.17999999999999,9.43411764705882,135.28588235294117,26.714117647058828
354.0,130.06896551724137,143.76623376623377,35.76896551724137,33.066233766233765,97.0027317510076,107.9972682489924
355.0,145.42011834319527,179.8918918918919,22.540118343195275,46.7718918918919,98.64822645130337,157.35177354869663
356.0,173.04545454545453,141.7704918032787,20.76545454545453,12.050491803278703,160.99496274217583,121.00503725782417
357.0,160.67415730337078,156.28415300546447,17.674157303370777,13.284153005464475,147.3900042979063,138.6099957020937
358.0,147.19101123595505,143.1693989071038,16.191011235955045,12.169398907103812,135.02161232885123,126.97838767114877
359.0,157.89473684210526,145.16129032258064,22.89473684210526,10.16129032258064,147.73344651952462,122.26655348047538
360.0,150.94857142857146,133.97802197802199,18.868571428571443,12.058021978021984,138.89054945054949,115.10945054945054
361.0,150.94857142857146,133.97802197802199,18.868571428571443,12.058021978021984,138.89054945054949,115.10945054945054
362.0,156.47058823529412,152.0,23.470588235294116,19.0,137.47058823529412,128.52941176470588
363.0,153.8947368421053,144.48,22.314736842105276,18.059999999999988,135.83473684210531,122.16526315789471
364.0,151.02439024390245,144.25806451612902,27.184390243902442,10.098064516129028,140.92632572777342,117.07367427222658
365.0,146.9268292682927,140.3440860215054,26.44682926829269,9.824086021505394,137.1027432467873,113.89725675321272
366.0,160.6272189349112,151.90322580645164,24.897218934911223,10.633225806451634,149.99399312845958,127.00600687154042
367.0,150.28571428571428,149.4318181818182,18.785714285714278,17.931818181818187,132.3538961038961,130.6461038961039
368.0,131.57647058823528,137.6818181818182,19.736470588235278,16.52181818181819,115.05465240641709,117.94534759358291
369.0,156.09580838323353,150.73333333333332,25.75580838323353,15.073333333333323,141.0224750499002,124.97752495009979
370.0,157.22543352601156,152.80898876404495,21.225433526011557,16.808988764044955,140.4164447619666,131.5835552380334
